Date,Open,High,Low,Close,Volume
2001-01-31,92.7450,93.6225,92.2050,92.4885,9706900
2001-02-01,92.5425,93.1162,91.9687,93.1027,8239100
2001-02-02,92.7450,93.1432,90.9562,90.9900,8276600
2001-02-05,90.9900,91.7595,90.9562,91.6582,4352900
2001-02-06,91.3275,92.2725,91.2735,91.3882,7106700
2001-02-07,90.9360,91.3950,90.2340,90.9157,5748700
2001-02-08,90.9900,91.3950,89.8425,89.8560,5943300
2001-02-09,90.0112,90.0112,88.6005,88.9920,9913000
2001-02-12,88.8975,90.1125,88.8975,90.0112,5804400
2001-02-13,90.2475,90.5647,89.1000,89.2755,6587600
2001-02-14,89.5387,89.5387,88.1955,89.1405,8400100
2001-02-15,89.6670,90.1260,89.0932,90.0045,5929800
2001-02-16,88.4250,88.6207,87.2775,88.0200,6434900
2001-02-20,88.4520,88.5195,86.4675,86.6632,5760000
2001-02-21,86.3325,86.9670,84.7125,84.7935,10910800
2001-02-22,85.2862,85.4145,83.0385,84.9217,21281600
2001-02-23,84.4290,84.7395,82.2150,84.3480,20173000
2001-02-26,84.9150,86.1435,84.0375,86.1435,11503700
2001-02-27,85.5900,86.2920,84.7192,85.3470,11415000
2001-02-28,85.5562,85.6170,83.2072,83.6662,14825800
2001-03-01,83.7337,84.1050,82.1812,84.1050,14672000
2001-03-02,82.6875,84.8137,82.5525,83.4367,12564300
2001-03-05,83.8012,84.2265,83.5717,84.1995,5293200
2001-03-06,85.2862,86.2312,84.7057,85.1040,6917000
2001-03-07,85.6575,85.7520,84.8880,85.7115,6371700
2001-03-08,85.4550,85.8870,85.1445,85.8060,6055000
2001-03-09,85.1175,85.1175,83.0992,83.2680,10020300
2001-03-12,82.5795,82.6875,79.4812,79.7040,13972900
2001-03-13,80.5950,81.2970,79.3327,81.0135,12888000
2001-03-14,79.0087,80.5207,78.1312,79.4137,19883400
2001-03-15,79.9537,80.2305,79.2180,79.4340,10370300
2001-03-16,79.2800,79.4627,77.7097,77.8450,58514600
2001-03-19,78.3527,79.6590,77.7164,79.4289,10067800
2001-03-20,79.8011,80.1802,77.2359,77.2968,15083900
